DJ BoBo,32772
Bligg,18538
Gotthard,16165
Baschi,13767
Gölä,11125
"Peter, Sue & Marc",9957
Lo & Leduc,9921
Stress,9219
77 Bombay Street,8678
MusicStars,8130
Yello,8091
Züri West,7480
Pegasus,6939
DJ Antoine feat. The Beat Shakers,6745
Lovebugs,5984
Stefanie Heinzmann,5945
Subzonic,5505
Bastian Baker,5457
DJ Antoine,5175
Patent Ochsner,4882
Plüsch,4746
DJ Tatana,4596
Mia Aegerter,4519
Florian Ast,4471
Remady & Manu-L,4366
Robert Miles,4197
DJ Antoine vs. Timati feat. Kalenna,4088
Yves Larock,3983
Nemo [CH],3822
Florian Ast & Francine Jordi,3755
Patrick Nuo,3672
Adrian Stern,3577
Loco Escrito,3571
Jodlerklub Wiesenberg & Francine Jordi,3542
Mash,3498
Stephan Eicher,3458
Rumpelstilz,3274
Remady feat. Manu-L,3223
Tears,3037
XXL feat. Peter 'Cool Man' Steiner,2942
Remady & Manu-L feat. J-Son,2921
"Remady ""P&R;""",2910
Dodo,2771
Marc Sway,2587
Lunik,2584
Fabienne Louves & Marc Sway,2521
Lovebugs feat. Lene Marlin,2445
Müslüm,2373
Kisha,2371
Taxi [CH],2335
Los Suissos,2246
Pepe Lienhard Band,2184
DJ Energy,2179
Trio Eugster,2158
Mike Candys & Evelyn feat. Patrick Miller,2086
Harry Hasler,2076
Die Minstrels,2068
Myron,2035
Baschi.,1979
Dorados,1970
Tatana feat. Onita Boone,1901
D.J. Igo,1875
Martin Schenkel,1875
Stress feat. Noah Veraguth,1867
M.C. Eugster,1826
Paola,1821
Matterhorn Project,1754
Steff la Cheffe,1710
Seven,1664
The Heavy's,1656
Phil Carmen,1607
Flava & Stevenson feat. FreeG & Fat-K,1567
Mr. Da-Nos,1563
Stress feat. Karolyn,1560
Mario Pacchioli,1556
Baby Jail,1542
Mike Candys feat. Evelyn & Patrick Miller,1541
Bligg feat. Marc Sway,1529
DJ BoBo & Irene Cara,1527
"Baschi, Bligg, Ritschi, Seven & Stress",1510
Betty Legler,1508
Piero Esteriore,1462
Natacha,1458
Pepe Lienhard,1439
Kliby,1431
Code 5,1429
Mike Candys & Jack Holiday,1427
Luca Hänni,1426
Robert Miles feat. Maria Nayler,1401
Emel,1396
Bligg mit Streichmusik Alder,1393
Beatrice Egli,1388
Peach Weber,1384
Kandlbauer,1334
Nickless,1328
Anna Rossinelli,1326
DJ Antoine feat. Tom Dice,1293
Les Sauterelles,1273
Carmen Fenk,1256
"Lasso feat. Dani, Grosha & Matete",1245
Gimma,1235
Bligg feat. Emel,1235
TinkaBelle,1214
Polo Hofer und die Schmetterband,1202
Dada Ante Portas,1199
Salome,1183
Shem Thomas,1155
DJ Antoine vs. Mad Mark,1138
Sandman,1132
Udo Jürgens und die Fußball-Nationalmannschaft,1118
Hecht,1108
Sens Unik,1106
Toni Vescoli,1102
Fabienne Louves,1091
Migros Ensemble,1072
Dabu Fantastic,1045
Sina,1036
Touch El Arab,1031
Sinplus,1003
Signorino TJ,1000
DJ Tatana feat. Morris,997
China,967
Playhouse-X,906
Il Senso feat. Ruedi Rymann,902
DJ BoBo & Sandra,882
Florian Ast & Florenstein,870
DJ BoBo & VSOP,864
Fründe,819
Tatana feat. Jaël,812
DJ BoBo feat. Manu-L,804
DJ Antoine feat. Akon,802
DJ Energy & Tatana,791
Montserrat Caballé & Gotthard,781
Simone Drexel,769
Remady feat. Craig David,765
Paolo Meneguzzi & Ophélie Cassy,763
Trauffer,759
Krokus,729
Adrian Solo,727
Katy Winter,725
Jo Fox,716
Stress feat. Nicole Bernegger,712
Kät,711
Da Sign & The Opposite,711
DJ Toxic,696
Playhouse,696
Mike Candys,692
Pino Panduri,692
Ritschi,688
Scream,680
Damian Lynn,675
Daniel Kandlbauer / Kisha / Marc Sway / Tanja Dankner,675
Patrick Miller,669
Stress & Bastian Baker,662
Polo Hofer's Schmetterding,661
Ines Torelli,657
Dankner,657
Max B. Grant,652
Sandee,648
James Gruntz,644
Mike Candys feat. Evelyn & Tony T.,639
Stress feat. Xavier Naidoo,639
Cornelia Grolimund,638
DJ Energy feat. Gotthard,634
Sina feat. Büne Huber,615
Fitta mit am Gion,604
Yello feat. Stina Nordenstam,597
Risi & Co.,593
Double,586
Fraui,583
DJ Scream,571
Dave 202 feat. Boris G.,557
Sue Schell,551
Santiago Cortés,542
Mike Candys feat. Sandra Wild,530
Airvox,523
Friends Of Street Parade feat. Sarah,511
Astropolis feat. Erich von Däniken,508
Christine Lauterburg / Zsolt Marffy / Pascal De Sapio,496
Flava & Stevenson feat. Cesca Lara,496
QL,490
Tanisha,488
Mr. Da-Nos & The Product G&B; feat. Maury,482
Dave202 & Phil Green feat. Savier,479
Piero Esteriore & The MusicStars,476
Sons Of Nature,472
Lisa Oribasi,471
Pascal G,465
Angy Burri & The Apaches,465
FreeG feat. Sibbyl,456
Stefanie Heinzmann feat. Alle Farben,447
Bo Katzman Gang,446
Street Parade feat. Maury,443
Nöggi,441
Isabelle Flachsmann,428
Dodo feat. Dabu Fantastic,428
Sens Unik vs. Die Fantastischen Vier,424
Molow,422
Steve Lee / Bo Katzman / John Brack,421
Gabriel,421
Phon Roll,418
Remady & Manu-L feat. Culcha Candela,417
Paolo Meneguzzi,415
Polo Hofer / Sandee / Sina / Kandlbauer,414
Satrox,412
DJ Mind-X and Friends,411
Loredana x Mozzik,411
Gimma feat. Carlos Leal & Lou Zarra,410
Adriano Tomasi,410
Tatana feat. Pee,408
Florian Ast & Kisha,407
Yello & Shirley Bassey,389
Sinplus feat. Mickey Shiloh,380
Redwood,377
Sinplus feat. Lady Chann,369
Härz,368
Männer am Meer feat. Kuno Lauener,365
Claude,363
Caroline Chevin,360
Nicole Bernegger,356
Sepp mit Stixi & Sonja,351
Ira May | Noah Veraguth | Lo & Leduc,351
Olivia Gray,350
Eliane,346
Nita [CH],344
