,artist,platzierung,swiss,titel,week,year
132101,Bee Gees,2,False,Massachusetts,1968-01-02,1968
132103,The Beatles,4,False,"Hello, Good Bye",1968-01-02,1968
132091,Bee Gees,2,False,Massachusetts,1968-01-09,1968
132092,The Beatles,3,False,"Hello, Good Bye",1968-01-09,1968
132082,Bee Gees,3,False,World,1968-01-16,1968
132081,The Beatles,2,False,"Hello, Good Bye",1968-01-16,1968
132087,The Rolling Stones,8,False,She's A Rainbow,1968-01-16,1968
132071,Bee Gees,2,False,World,1968-01-23,1968
132073,The Beatles,4,False,"Hello, Good Bye",1968-01-23,1968
132074,The Rolling Stones,5,False,She's A Rainbow,1968-01-23,1968
132061,Bee Gees,2,False,World,1968-01-30,1968
132064,The Beatles,5,False,"Hello, Good Bye",1968-01-30,1968
132063,The Rolling Stones,4,False,She's A Rainbow,1968-01-30,1968
132053,Bee Gees,4,False,World,1968-02-06,1968
132058,The Beatles,9,False,"Hello, Good Bye",1968-02-06,1968
132055,The Rolling Stones,6,False,She's A Rainbow,1968-02-06,1968
132045,Bee Gees,6,False,World,1968-02-13,1968
132042,The Rolling Stones,3,False,She's A Rainbow,1968-02-13,1968
132033,Bee Gees,4,False,Words,1968-02-20,1968
132036,The Rolling Stones,7,False,She's A Rainbow,1968-02-20,1968
132021,Bee Gees,2,False,Words,1968-02-27,1968
132028,The Rolling Stones,9,False,She's A Rainbow,1968-02-27,1968
132011,Bee Gees,2,False,Words,1968-03-05,1968
132000,Bee Gees,1,False,Words,1968-03-12,1968
131990,Bee Gees,1,False,Words,1968-03-19,1968
131991,The Beatles,2,False,Lady Madonna,1968-03-19,1968
131981,Bee Gees,2,False,Words,1968-03-26,1968
131980,The Beatles,1,False,Lady Madonna,1968-03-26,1968
131972,Bee Gees,3,False,Words,1968-04-02,1968
131979,Status Quo,10,False,Pictures Of Matchstick Men,1968-04-02,1968
131970,The Beatles,1,False,Lady Madonna,1968-04-02,1968
131964,Bee Gees,5,False,Words,1968-04-09,1968
131968,Status Quo,9,False,Pictures Of Matchstick Men,1968-04-09,1968
131960,The Beatles,1,False,Lady Madonna,1968-04-09,1968
131954,Bee Gees,5,False,The Singer Sang His Song,1968-04-16,1968
131956,Cliff Richard,7,False,Congratulations,1968-04-16,1968
131957,Status Quo,8,False,Pictures Of Matchstick Men,1968-04-16,1968
131950,The Beatles,1,False,Lady Madonna,1968-04-16,1968
131946,Bee Gees,7,False,Words,1968-04-23,1968
131943,Cliff Richard,4,False,Congratulations,1968-04-23,1968
131945,Status Quo,6,False,Pictures Of Matchstick Men,1968-04-23,1968
131941,The Beatles,2,False,Lady Madonna,1968-04-23,1968
131937,Bee Gees,8,False,The Singer Sang His Song,1968-04-30,1968
131931,Cliff Richard,2,False,Congratulations,1968-04-30,1968
131934,Status Quo,5,False,Pictures Of Matchstick Men,1968-04-30,1968
131933,The Beatles,4,False,Lady Madonna,1968-04-30,1968
131929,Bee Gees,10,False,Words,1968-05-07,1968
131921,Cliff Richard,2,False,Congratulations,1968-05-07,1968
131924,Status Quo,5,False,Pictures Of Matchstick Men,1968-05-07,1968
131923,The Beatles,4,False,Lady Madonna,1968-05-07,1968
131911,Cliff Richard,2,False,Congratulations,1968-05-14,1968
131914,Status Quo,5,False,Pictures Of Matchstick Men,1968-05-14,1968
131913,The Beatles,4,False,Lady Madonna,1968-05-14,1968
131901,Cliff Richard,2,False,Congratulations,1968-05-21,1968
131906,Status Quo,7,False,Pictures Of Matchstick Men,1968-05-21,1968
131902,The Beatles,3,False,Lady Madonna,1968-05-21,1968
131891,Cliff Richard,2,False,Congratulations,1968-05-28,1968
131898,Status Quo,9,False,Pictures Of Matchstick Men,1968-05-28,1968
131894,The Beatles,5,False,Lady Madonna,1968-05-28,1968
131895,The Rolling Stones,6,False,Jumpin' Jack Flash,1968-05-28,1968
131883,Cliff Richard,4,False,Congratulations,1968-06-04,1968
131887,Status Quo,8,False,Pictures Of Matchstick Men,1968-06-04,1968
131886,The Beatles,7,False,Lady Madonna,1968-06-04,1968
131885,The Rolling Stones,6,False,Jumpin' Jack Flash,1968-06-04,1968
131875,Cliff Richard,6,False,Congratulations,1968-06-11,1968
131877,Status Quo,8,False,Pictures Of Matchstick Men,1968-06-11,1968
131876,The Beatles,7,False,Lady Madonna,1968-06-11,1968
131872,The Rolling Stones,3,False,Jumpin' Jack Flash,1968-06-11,1968
131865,Cliff Richard,6,False,Congratulations,1968-06-18,1968
131864,The Rolling Stones,5,False,Jumpin' Jack Flash,1968-06-18,1968
131857,Cliff Richard,8,False,Congratulations,1968-06-25,1968
131852,The Rolling Stones,3,False,Jumpin' Jack Flash,1968-06-25,1968
131849,Cliff Richard,10,False,Congratulations,1968-07-02,1968
